,Martin Scorsese,Dennis Dugan,F. Gary Gray,Francois Truffaut,Anthony Minghella,Joe Johnston,James Wan,Hal Ashby,Warren Beatty,Andrei Tarkovsky,Penelope Spheeris,Dutch Verhoeven,Milos Forman,Bill Duke,Mira Nair,Judd Apatow,Wes Anderson,James Gray,Steve McQueen,Jacques Tati,Joe Wright,Curtis Hanson,Celine Sciamma,Preston Sturges,Tony Scott,Jia Zhangke,Mike Leigh,Karyn Kusama,Kelly Reichardt,Gus Van Sant,Oliver Stone,Chris Columbus
TheSmark88,5,0,1,0,0,2,1,0,0,2,1,0,3,0,1,0,3,0,1,0,0,1,0,2,4,0,1,0,0,2,0,1
parapet,5,0,0,1,0,1,0,2,1,0,3,0,1,0,0,2,4,0,0,1,0,1,0,2,3,0,0,1,0,2,1,0
valyriawrex,3,0,1,0,0,2,1,0,0,1,0,4,0,2,0,1,1,0,2,0,0,3,1,0,5,0,0,1,0,1,2,0
CodyFSchmidt,4,0,1,0,0,2,1,0,2,0,1,0,0,1,3,0,3,0,0,1,0,1,2,0,5,0,0,1,2,0,0,1
eliotprops,4,0,1,0,0,2,1,0,0,1,0,3,2,0,1,0,3,0,1,0,0,2,1,0,5,0,0,1,0,2,1,0
Untitled,5,0,1,0,0,1,2,0,3,0,1,0,1,0,2,0,3,0,1,0,1,0,2,0,4,0,0,1,2,0,0,1
Hoff's Picks,5,0,0,1,0,1,2,0,3,0,1,0,1,0,2,0,3,0,1,0,2,0,0,1,4,0,0,1,2,0,1,0
bharg,5,0,1,0,0,2,1,0,2,0,1,0,3,0,1,0,3,0,1,0,2,0,0,1,4,0,1,0,0,1,2,0
deebee8,1,0,2,0,0,4,1,0,1,0,0,2,0,3,0,1,3,0,1,0,0,2,1,0,5,0,1,0,0,1,0,2
Cubes's Predictions or: How I Learnt to Stop Worrying and Love Kundun,5,0,0,1,0,2,1,0,0,3,0,1,2,0,1,0,4,0,1,0,2,0,1,0,3,0,1,0,0,2,1,0
HIOM,5,0,0,1,0,1,0,2,2,0,1,0,3,0,1,0,3,0,1,0,0,2,0,1,4,0,1,0,0,2,1,0
no idea lol!!!,5,0,1,0,0,2,0,1,0,2,0,1,1,0,0,3,4,0,0,1,1,0,2,0,3,0,1,0,0,1,2,0
The Last Tempodtion of Cast,5,0,1,0,1,0,2,0,1,0,2,0,3,0,1,0,3,0,1,0,0,2,0,1,4,0,1,0,0,1,0,2
Frickward Testicles,5,0,0,1,0,2,0,1,2,0,1,0,3,0,1,0,3,0,0,1,0,1,0,2,4,0,0,1,0,2,1,0
Competition_volcano,5,0,0,1,1,0,2,0,0,3,1,0,2,0,1,0,3,0,1,0,0,1,2,0,4,0,1,0,2,0,1,0
EOM,5,0,0,1,0,2,1,0,0,2,0,1,3,0,0,1,4,0,1,0,2,0,1,0,3,0,1,0,0,1,0,2
greggslover69,5,0,0,1,0,2,1,0,3,0,1,0,1,0,2,0,4,0,1,0,0,2,0,1,2,0,1,0,0,1,0,3
jmaccies,5,0,0,1,0,1,2,0,2,0,1,0,3,0,0,1,3,0,1,0,1,0,2,0,4,0,1,0,0,1,0,2
Parker's Perfect Prediction,5,0,0,1,0,1,2,0,2,0,1,0,1,0,3,0,4,0,1,0,1,0,2,0,2,0,1,0,3,0,1,0
lena (lyric),5,0,1,0,1,0,2,0,1,0,2,0,1,0,0,3,3,0,1,0,1,0,0,2,4,0,1,0,0,2,1,0
hollandoates,5,0,1,0,0,2,0,1,2,0,1,0,1,0,3,0,3,0,0,1,2,0,0,1,4,0,1,0,1,0,0,2
